05_0750_GGA-SAD-0005_TSA1330	ROUTE_OF_ADMINISTRATION	DEFAULT	70
05_0750_GGA-SAD-0005_TSA1330	SPECIES	DEFAULT	585
05_0750_GGA-SAD-0005_TSA1330	SPECIMEN	DEFAULT	525
05_0750_GGA-SAD-0005_TSA1330	NO_TREATMENT_RELATED_EFFECT_DETECTED	DEFAULT	42
05_0750_GGA-SAD-0005_TSA1330	SENTENCES_QUANTITY_QUANTITY	GENERAL_DOCUMENT	1349
05_0750_GGA-SAD-0005_TSA1330	ANATOMY	DEFAULT	2436
05_0750_GGA-SAD-0005_TSA1330	GROUP	DEFAULT	31
05_0750_GGA-SAD-0005_TSA1330	TREATMENT_RELATED_EFFECT_DETECTED_SENTENCE	DEFAULT	78
05_0750_GGA-SAD-0005_TSA1330	TOKENS_QUANTITY_QUANTITY	GENERAL_DOCUMENT	67177
05_0750_GGA-SAD-0005_TSA1330	NO_TREATMENT_RELATED_EFFECT_DETECTED_SENTENCE	DEFAULT	42
05_0750_GGA-SAD-0005_TSA1330	STATICAL_SIGNIFICANCE	DEFAULT	214
05_0750_GGA-SAD-0005_TSA1330	TREATMENT_RELATED_EFFECT_DETECTED	DEFAULT	78
05_0750_GGA-SAD-0005_TSA1330	DOSE	DEFAULT	230
05_0750_GGA-SAD-0005_TSA1330	STRAIN	DEFAULT	501
05_0750_GGA-SAD-0005_TSA1330	MODE_OF_ACTION	DEFAULT	160
05_0750_GGA-SAD-0005_TSA1330	LBTEST	STUDY TEST CODE(LBTEST) ETOX	413
05_0750_GGA-SAD-0005_TSA1330	date	Original markups	2
05_0750_GGA-SAD-0005_TSA1330	note	Original markups	15
05_0750_GGA-SAD-0005_TSA1330	figDesc	Original markups	100
05_0750_GGA-SAD-0005_TSA1330	appInfo	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	imprint	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	back	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	availability	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	fileDesc	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	title	Original markups	2
05_0750_GGA-SAD-0005_TSA1330	body	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	div	Original markups	48
05_0750_GGA-SAD-0005_TSA1330	head	Original markups	144
05_0750_GGA-SAD-0005_TSA1330	ref	Original markups	21
05_0750_GGA-SAD-0005_TSA1330	profileDesc	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	encodingDesc	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	text	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	monogr	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	table	Original markups	74
05_0750_GGA-SAD-0005_TSA1330	licence	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	figure	Original markups	100
05_0750_GGA-SAD-0005_TSA1330	listBibl	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	teiHeader	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	abstract	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	label	Original markups	100
05_0750_GGA-SAD-0005_TSA1330	p	Original markups	132
05_0750_GGA-SAD-0005_TSA1330	titleStmt	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	application	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	sourceDesc	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	TEI	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	publisher	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	formula	Original markups	70
05_0750_GGA-SAD-0005_TSA1330	publicationStmt	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	biblStruct	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	analytic	Original markups	1
05_0750_GGA-SAD-0005_TSA1330	INCREASE_MANIFESTATION_FINDING	MANIFESTATION_FINDING	16
05_0750_GGA-SAD-0005_TSA1330	JUSTPRESENT_MANIFESTATION_FINDING	MANIFESTATION_FINDING	24
05_0750_GGA-SAD-0005_TSA1330	SEXPOP_BOTH_SEX OF PARTICIPANTS RESPONSE	SEX	6
