AGEU_HOURS_AGE UNIT	CDISC	5	5	0	0
AGEU_WEEKS_AGE UNIT	CDISC	568	568	0	0
CHRNCTY_ACUTE_CHRONICITY	CDISC	8	8	0	0
CHRNCTY_CHRONIC_CHRONICITY	CDISC	280	280	0	0
CHRNCTY_SUBACUTE_CHRONICITY	CDISC	32	32	0	0
CHRNCTY_SUBCHRONIC_CHRONICITY	CDISC	142	142	0	0
CLCAT_CLINICAL SIGNS_CATEGORY FOR CLINICAL OBSERVATION	CDISC	38	38	0	0
CLCAT_DERMAL_CATEGORY FOR CLINICAL OBSERVATION	CDISC	11	11	0	0
CLCAT_OPHTHALMOLOGY_CATEGORY FOR CLINICAL OBSERVATION	CDISC	51	51	0	0
CLCAT_PHYSICAL EXAM_CATEGORY FOR CLINICAL OBSERVATION	CDISC	2	2	0	0
COUNTRY_CHL_COUNTRY	CDISC	1	1	0	0
COUNTRY_CHN_COUNTRY	CDISC	108	108	0	0
COUNTRY_DEU_COUNTRY	CDISC	1	1	0	0
COUNTRY_FRA_COUNTRY	CDISC	51	51	0	0
COUNTRY_GBR_COUNTRY	CDISC	2	2	0	0
COUNTRY_OMN_COUNTRY	CDISC	2	2	0	0
COUNTRY_TUR_COUNTRY	CDISC	1	1	0	0
COUNTRY_USA_COUNTRY	CDISC	1	1	0	0
DIR_ANTERIOR_DIRECTIONALITY	CDISC	28	28	0	0
DIR_APICAL_DIRECTIONALITY	CDISC	3	3	0	0
DIR_CENTRAL_DIRECTIONALITY	CDISC	8	8	0	0
DIR_CRANIAL_DIRECTIONALITY	CDISC	2	2	0	0
DIR_DEEP_DIRECTIONALITY	CDISC	3	3	0	0
DIR_DISTAL_DIRECTIONALITY	CDISC	15	15	0	0
DIR_DORSAL_DIRECTIONALITY	CDISC	17	17	0	0
DIR_INNER_DIRECTIONALITY	CDISC	207	207	0	0
DIR_INTERMEDIATE_DIRECTIONALITY	CDISC	3	3	0	0
DIR_LATERAL_DIRECTIONALITY	CDISC	2	2	0	0
DIR_LOWER_DIRECTIONALITY	CDISC	16	16	0	0
DIR_MEDIAL_DIRECTIONALITY	CDISC	33	33	0	0
DIR_NASAL_DIRECTIONALITY	CDISC	10	10	0	0
DIR_OUTER_DIRECTIONALITY	CDISC	378	378	0	0
DIR_PROXIMAL_DIRECTIONALITY	CDISC	53	53	0	0
DIR_SUPERFICIAL_DIRECTIONALITY	CDISC	19	19	0	0
DIR_SURFACE_DIRECTIONALITY	CDISC	52	52	0	0
DIR_TIP_DIRECTIONALITY	CDISC	2	2	0	0
DIR_UPPER_DIRECTIONALITY	CDISC	11	11	0	0
DSDECOD_ACCIDENTAL DEATH_STANDARDIZED DISPOSITION TERM	CDISC	3	3	0	0
DSDECOD_FOUND DEAD_STANDARDIZED DISPOSITION TERM	CDISC	24	24	0	0
DSDECOD_TERMINAL SACRIFICE_STANDARDIZED DISPOSITION TERM	CDISC	389	389	0	0
DSTRBN_DIFFUSE_DISTRIBUTION	CDISC	525	525	0	0
DSTRBN_FOCAL_DISTRIBUTION	CDISC	462	462	0	0
DSTRBN_MULTIFOCAL_DISTRIBUTION	CDISC	1346	1346	0	0
DSTRBN_MULTIPLE_DISTRIBUTION	CDISC	46	46	0	0
EGCATSND_DIAGNOSIS_SEND ECG CATEGORY	CDISC	1	1	0	0
EGCATSND_INTERPRETATION_SEND ECG CATEGORY	CDISC	11	11	0	0
EGCATSND_MEASUREMENT_SEND ECG CATEGORY	CDISC	5	5	0	0
EGSTRESC_PREMATURE VENTRICULAR COMPLEX_ECG RESULT	CDISC	45	45	0	0
EGSTRESC_SINUS ARRHYTHMIA_ECG RESULT	CDISC	1	1	0	0
FREQ_1 TIME PER WEEK_FREQUENCY	CDISC	1	1	0	0
FREQ_2 TIMES PER WEEK_FREQUENCY	CDISC	4	4	0	0
FREQ_3 TIMES PER WEEK_FREQUENCY	CDISC	16	16	0	0
FREQ_AD LIBITUM_FREQUENCY	CDISC	4	4	0	0
FREQ_BID_FREQUENCY	CDISC	7	7	0	0
FREQ_EVERY WEEK_FREQUENCY	CDISC	1	1	0	0
FREQ_OCCASIONAL_FREQUENCY	CDISC	264	264	0	0
FREQ_ONCE_FREQUENCY	CDISC	26	26	0	0
FREQ_PRN_FREQUENCY	CDISC	1	1	0	0
FREQ_TWICE_FREQUENCY	CDISC	3	3	0	0
FRM_AEROSOL_PHARMACEUTICAL DOSAGE FORM	CDISC	2	2	0	0
