AGEU_WEEKS_AGE UNIT	CDISC	61	61	0	0
CHRNCTY_CHRONIC_CHRONICITY	CDISC	11	11	0	0
CHRNCTY_SUBACUTE_CHRONICITY	CDISC	1	1	0	0
CLCAT_CLINICAL SIGNS_CATEGORY FOR CLINICAL OBSERVATION	CDISC	23	23	0	0
CLCAT_OPHTHALMOLOGY_CATEGORY FOR CLINICAL OBSERVATION	CDISC	9	9	0	0
COUNTRY_CHE_COUNTRY	CDISC	2	2	0	0
COUNTRY_FRA_COUNTRY	CDISC	13	13	0	0
COUNTRY_GBR_COUNTRY	CDISC	2	2	0	0
DIR_ANTERIOR_DIRECTIONALITY	CDISC	2	2	0	0
DIR_APICAL_DIRECTIONALITY	CDISC	5	5	0	0
DIR_CAUDAL_DIRECTIONALITY	CDISC	1	1	0	0
DIR_DEEP_DIRECTIONALITY	CDISC	3	3	0	0
DIR_INFERIOR_DIRECTIONALITY	CDISC	1	1	0	0
DIR_INTERMEDIATE_DIRECTIONALITY	CDISC	12	12	0	0
DIR_LOWER_DIRECTIONALITY	CDISC	39	39	0	0
DIR_PERIPHERAL_DIRECTIONALITY	CDISC	2	2	0	0
DIR_POSTERIOR_DIRECTIONALITY	CDISC	1	1	0	0
DIR_VENTRAL_DIRECTIONALITY	CDISC	11	11	0	0
DSDECOD_FOUND DEAD_STANDARDIZED DISPOSITION TERM	CDISC	2	2	0	0
DSTRBN_DIFFUSE_DISTRIBUTION	CDISC	2	2	0	0
DSTRBN_FOCAL_DISTRIBUTION	CDISC	16	16	0	0
DSTRBN_MULTIFOCAL_DISTRIBUTION	CDISC	5	5	0	0
DSTRBN_MULTIPLE_DISTRIBUTION	CDISC	6	6	0	0
EGCATSND_INTERPRETATION_SEND ECG CATEGORY	CDISC	8	8	0	0
EGCATSND_MEASUREMENT_SEND ECG CATEGORY	CDISC	2	2	0	0
FREQ_AD LIBITUM_FREQUENCY	CDISC	6	6	0	0
FREQ_EVERY WEEK_FREQUENCY	CDISC	1	1	0	0
FREQ_ONCE_FREQUENCY	CDISC	37	37	0	0
FREQ_TWICE_FREQUENCY	CDISC	12	12	0	0
FXFINDRS_DILATATION_FETAL PATHOLOGY FINDINGS RESULT	CDISC	3	3	0	0
FXFINDRS_LARGE_FETAL PATHOLOGY FINDINGS RESULT	CDISC	5	5	0	0
FXFINDRS_LONG_FETAL PATHOLOGY FINDINGS RESULT	CDISC	4	4	0	0
